Prefecture,Subprefecture,GID_2,area198589,area199094,area199599,area200004,area200509,area201014,area201519,areachange,percchange
Naoasaki,Shikamachi,JPN.27.18_1,0.2214,0.2025,0.207,0.1269,0.2043,0.0504,0.0171,-0.2043,-92.27642276
Naoasaki,Shinkamigotō,JPN.27.20_1,0.1143,0.6228,0.504,1.7595,1.4058,0.2115,0.3186,0.2043,178.7401575
Naoasaki,Togitsu,JPN.27.21_1,0.2736,0.2529,0.189,0.1134,0.1026,0.0549,0.0243,-0.2493,-91.11842105
Nara,Ando,JPN.28.1_1,2.0943,2.1438,2.1195,1.7523,1.6623,0.9144,1.4769,-0.6174,-29.48001719
Nara,Gose,JPN.28.4_1,5.0607,4.8438,5.2155,3.4605,3.6054,1.1394,2.6577,-2.403,-47.48354971
Nara,Heguri,JPN.28.5_1,0.5004,0.7254,0.5877,0.3177,0.2448,0.1134,0.1449,-0.3555,-71.04316547
Nara,Ikaruga,JPN.28.7_1,1.9854,3.015,2.9475,2.1447,1.9908,0.9783,1.8,-0.1854,-9.338168631
Nara,Kanmaki,JPN.28.10_1,0.1845,0.2322,0.2151,0.1575,0.1575,0.0774,0.108,-0.0765,-41.46341463
Nara,Kawai,JPN.28.14_1,1.4148,1.6029,1.5318,1.1385,1.1736,0.3978,0.9603,-0.4545,-32.12468193
Nara,Kawanishi Town,JPN.28.16_1,1.575,1.8333,1.6938,1.4508,1.4121,0.5832,1.224,-0.351,-22.28571429
Nara,Kōryō,JPN.28.17_1,3.8997,4.932,4.9959,4.149,4.2633,1.7316,3.6108,-0.2889,-7.408262174
Nara,Miyake,JPN.28.20_1,1.7658,2.4408,2.1798,1.8468,1.7973,0.8379,1.701,-0.0648,-3.669724771
Nara,Ōji,JPN.28.23_1,0.2655,0.2763,0.3294,0.1638,0.1917,0.0945,0.1215,-0.144,-54.23728814
Nara,Ōyodo,JPN.28.24_1,0.5823,0.5373,0.6669,0.3015,0.2214,0.1602,0.1503,-0.432,-74.1885626
Nara,Sangō,JPN.28.26_1,0.1062,0.1908,0.1386,0.0648,0.045,0.0144,0.0207,-0.0855,-80.50847458
Nara,Shimoichi,JPN.28.27_1,0.2079,0.1827,0.1773,0.0927,0.0792,0.0594,0.0756,-0.1323,-63.63636364
Nara,Takatori,JPN.28.30_1,0.7083,0.5841,0.6858,0.4284,0.3969,0.0855,0.2664,-0.4419,-62.3888183
Nara,Tawaramoto,JPN.28.31_1,7.0101,8.9064,10.4976,7.7004,7.7976,3.8943,7.3638,0.3537,5.045577096
Nara,Yamazoe,JPN.28.38_1,0.3969,0.495,0.2601,0.3033,0.2538,0.2556,0.2907,-0.1062,-26.75736961
Nara,Yoshino,JPN.28.39_1,0.5454,0.4986,1.044,0.3699,0.3096,0.2178,0.1917,-0.3537,-64.85148515
Niigata,Aga,JPN.29.1_1,6.6978,6.8967,5.6376,5.8743,5.6754,5.5998,5.7825,-0.9153,-13.66568127
Niigata,Awashimaura,JPN.29.3_1,0.0009,0.0405,0,0.0072,0.0027,0.0666,0.0306,0.0297,3300
Niigata,Izumozaki,JPN.29.6_1,3.069,3.366,2.691,2.6604,2.6901,2.5722,2.5938,-0.4752,-15.48387097
Niigata,Kawaguchi,JPN.29.11_1,4.1463,5.6142,3.9591,3.6891,3.69,3.2769,3.5739,-0.5724,-13.80507923
Niigata,Seirō,JPN.29.21_1,17.091,15.822,14.7042,13.6557,13.4019,13.9617,14.1768,-2.9142,-17.05107952
Niigata,Tagami,JPN.29.24_1,7.1055,7.0956,6.2352,6.1929,6.2676,6.3036,5.9553,-1.1502,-16.18746042
Niigata,Tsunan,JPN.29.28_1,11.6073,13.9662,11.5623,11.8998,12.3354,11.2293,12.1815,0.5742,4.946886873
Niigata,Yuzawa,JPN.29.31_1,1.3077,1.4202,1.7541,1.3635,1.4418,1.6254,1.5372,0.2295,17.54989677
Oita,Hiji,JPN.30.4_1,1.0953,2.4156,1.8963,1.3707,1.0035,1.3743,1.3023,0.207,18.8989318
Oita,Kokonoe,JPN.30.8_1,5.3244,6.813,5.1867,4.0644,3.1878,4.4181,4.4001,-0.9243,-17.3597025
Oita,Kusu,JPN.30.10_1,5.9976,7.1991,4.8501,5.1327,3.0051,1.4616,2.9331,-3.0645,-51.09543818
Okayama,Hayashima,JPN.31.4_1,2.7027,2.5344,2.1708,2.2617,1.809,1.6704,0.6651,-2.0376,-75.39127539
Okayama,Kagamino,JPN.31.6_1,9.5778,9.1791,9.8217,8.7849,8.4006,9.1287,0.7596,-8.8182,-92.06915993
Okayama,Kibichūō,JPN.31.8_1,2.8836,3.717,3.4992,2.4228,2.5731,3.8295,1.0854,-1.7982,-62.35955056
Okayama,Kumenan,JPN.31.9_1,1.4094,1.3131,1.1475,1.0188,0.9198,0.7632,0.1908,-1.2186,-86.46232439
Okayama,Misaki,JPN.31.13_1,3.4344,3.8826,3.4713,2.7531,2.232,1.7586,0.3843,-3.0501,-88.81027254
Okayama,Nagi,JPN.31.14_1,3.8592,3.3957,3.2841,2.2068,2.5173,2.0853,0.3834,-3.4758,-90.06529851
Okayama,Naoshima,JPN.31.15_1,0.0045,0.0009,0.0288,0.0018,0,0.0027,0.0018,-0.0027,-60
Okayama,Satoshō,JPN.31.19_1,0.7812,0.846,0.4752,0.3753,0.1467,0.7551,0.1737,-0.6075,-77.76497696
Okayama,Shōdoshima,JPN.31.22_1,0.1899,0.279,0.7299,0.1683,0.1575,0.1323,0.0252,-0.1647,-86.72985782
Okayama,Shōō,JPN.31.23_1,3.7215,4.8411,4.2399,3.3399,2.6397,1.9638,0.4527,-3.2688,-87.83555018
Okayama,Tonoshō,JPN.31.27_1,0.5094,0.5022,1.071,0.2556,0.243,0.189,0.0585,-0.4509,-88.51590106
Okayama,Wake,JPN.31.29_1,3.7782,3.9915,5.031,3.1005,1.0944,1.008,0.1503,-3.6279,-96.0219152
Okayama,Yakage,JPN.31.30_1,6.3351,7.0011,5.0418,5.3469,4.2183,6.0318,1.755,-4.5801,-72.29720131
Osaka,Kanan,JPN.33.15_1,0.954,0.6534,1.0422,0.7218,0.6408,0.6147,0.4977,-0.4563,-47.83018868
Osaka,Kumatori,JPN.33.20_1,0.0783,0.3483,0.693,0.1503,0.1071,0.0621,0.1161,0.0378,48.27586207
Osaka,Misaki,JPN.33.23_1,0.4995,0.3744,1.1592,0.0675,0.0657,0.0333,0.0657,-0.4338,-86.84684685
Osaka,Nose,JPN.33.26_1,4.1148,3.1644,2.9952,3.1806,2.6262,2.2122,2.9844,-1.1304,-27.47156605
Osaka,Shimamoto,JPN.33.33_1,0.2808,0.3024,0.3843,0.2142,0.1512,0.09,0.0783,-0.2025,-72.11538462
Osaka,Tadaoka,JPN.33.35_1,0.1341,0.063,0.4725,0.0387,0.0144,0.0081,0.0207,-0.1134,-84.56375839
Osaka,Taishi,JPN.33.36_1,0.0855,0.1188,0.2403,0.0504,0.081,0.0864,0.0684,-0.0171,-20
Osaka,Tajiri,JPN.33.37_1,0.5481,0.4275,1.188,0.3888,0.2232,0.2187,0.1332,-0.4149,-75.69786535
Osaka,Toyono,JPN.33.42_1,0.3708,0.3456,0.3609,0.2745,0.1899,0.1368,0.2142,-0.1566,-42.23300971
Saga,Arita,JPN.34.1_1,0.7353,2.664,2.2293,2.5281,2.0574,0.3033,1.8621,1.1268,153.2435741
Saga,Genkai,JPN.34.2_1,1.5048,1.6866,0.918,1.5525,1.6614,1.5201,1.1403,-0.3645,-24.22248804
Saga,Kamimine,JPN.34.4_1,4.9599,5.2812,0.1872,4.2165,2.4201,1.0287,0.5409,-4.419,-89.0945382
Saga,Kiyama,JPN.34.8_1,1.7568,1.2177,0.0108,0.6687,0.1638,0.2223,0.2178,-1.539,-87.60245902
Saga,Kōhoku,JPN.34.9_1,7.0803,10.2132,1.4967,9.4176,7.398,2.4282,5.9643,-1.116,-15.76204398
Saga,Miyaki,JPN.34.10_1,9.927,12.6207,1.314,10.6002,5.6205,3.1689,2.9745,-6.9525,-70.03626473
Saga,Ōmachi,JPN.34.12_1,0.7947,3.411,0.1935,2.4138,2.5938,0.4473,1.2465,0.4518,56.85164213
Saga,Shiroishi,JPN.34.14_1,6.5115,46.7352,7.3233,45.6039,41.1462,12.996,24.3522,17.8407,273.9875605
Saga,Tara,JPN.34.17_1,0.8523,1.1907,1.0296,1.2123,0.7479,0.0594,0.7947,-0.0576,-6.758183738
Saga,Yoshinogari,JPN.34.20_1,7.7841,7.1694,0.7524,5.4216,3.1212,1.2429,0.7092,-7.0749,-90.88912013
Saitama,Hatoyama,JPN.35.12_1,1.4103,0.5697,0.3123,0.7281,0.6147,0.4311,0.8154,-0.5949,-42.18251436
Saitama,Higashichichibu,JPN.35.14_1,0.2178,0.0945,0.0432,0.081,0.0666,0.0873,0.09,-0.1278,-58.67768595
Saitama,Ina,JPN.35.17_1,2.7009,2.2914,2.205,1.5417,1.8189,1.7055,1.8846,-0.8163,-30.22325891
